code;label;source
code; identifiant;Bamba V.
mouvt; entrée ou sortie de marchandise;Bamba V.
mois; date mesurée en mois;Bamba V.
prod; type de marchandise;Bamba V.
poids; poids en kg;Bamba V.
mod; moyen de transport;Bamba V.
immat; immatriculation du véhicule;Bamba V.
droit; montant fixe de la taxe;Bamba V.
cfakg; taxe par kg;Bamba V.
ori; lieu d'origine;Bamba V.
lon_ori; longitude du lieu d'origine;Bamba V.
lat_ori; latitude du lieu d'origine;Bamba V.
dis_km_ori; distance routière au lieu d'origine en km;osrm
dis_mn_ori; distance routière au lieu d'origine en minutes;osrm
des; lieu de destination;Bamba V.
lon_des; longitude du lieu de destination;Bamba V.
lat_des; latitude du lieu de destination;Bamba V.
dis_km_des; distance routière au lieu de destination en km;osrm
dis_mn_des; distance routière au lieu de destination en minutes;osrm
